date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board
2026-08-17,SD@NYM,SD,8.5,Over,0.078,0.125,-0.047,650,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,8.5,Under,0.922,0.875,0.047,-1400,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,2.5,Over,0.725,0.688,0.038,-275,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,2.5,Under,0.275,0.312,-0.038,200,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,3.5,Over,0.582,0.553,0.028,-140,draftkings,4,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,3.5,Under,0.418,0.447,-0.028,120,fanduel,4,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,4.5,Over,0.443,0.424,0.019,125,williamhill_us,2,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,4.5,Under,0.557,0.576,-0.019,-152,betrivers,2,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,5.5,Over,0.319,0.303,0.016,210,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,5.5,Under,0.681,0.697,-0.016,-286,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,6.5,Over,0.219,0.217,0.002,333,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,6.5,Under,0.781,0.783,-0.002,-500,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,7.5,Over,0.144,0.156,-0.012,500,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,7.5,Under,0.856,0.844,0.012,-900,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,8.5,Over,0.092,0.116,-0.024,700,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,SD@NYM,NYM,8.5,Under,0.908,0.884,0.024,-2000,williamhill_us,1,4.46,Expected Lineup,823589,False
2026-08-17,ATH@KC,ATH,2.5,Over,0.675,0.645,0.03,-225,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,2.5,Under,0.325,0.355,-0.03,162,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,3.5,Over,0.534,0.508,0.026,-115,fanduel,5,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,3.5,Under,0.466,0.492,-0.026,-107,betrivers,5,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,4.5,Over,0.406,0.385,0.02,145,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,4.5,Under,0.594,0.615,-0.02,-187,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,5.5,Over,0.293,0.283,0.01,230,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,5.5,Under,0.707,0.717,-0.01,-333,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,6.5,Over,0.204,0.208,-0.004,350,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,6.5,Under,0.796,0.792,0.004,-550,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,7.5,Over,0.135,0.146,-0.011,550,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,7.5,Under,0.865,0.854,0.011,-900,williamhill_us,1,4.2,Expected Lineup,824077,False
2026-08-17,ATH@KC,ATH,8.5,Over,0.084,0.11,-0.026,750,williamhill_us,1,4.2,Expected Lineup,824077,False
