date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board,actual,settle,units
2026-08-19,CWS@CHC,CWS,6.5,Over,0.188,0.187,0.001,400,williamhill_us,1,4.07,CONF (statsapi),824640,4.0,-0.06,False,3,L,-1.0
2026-08-19,CWS@CHC,CWS,6.5,Under,0.812,0.813,-0.001,-667,williamhill_us,1,4.07,CONF (statsapi),824640,0.1499,-0.0663,False,3,W,0.1499
2026-08-19,CWS@CHC,CWS,7.5,Over,0.123,0.134,-0.011,600,williamhill_us,1,4.07,CONF (statsapi),824640,6.0,-0.139,False,3,L,-1.0
2026-08-19,CWS@CHC,CWS,7.5,Under,0.877,0.866,0.011,-1200,williamhill_us,1,4.07,CONF (statsapi),824640,0.0833,-0.0499,False,3,W,0.0833
2026-08-19,CWS@CHC,CWS,8.5,Over,0.078,0.099,-0.021,850,williamhill_us,1,4.07,CONF (statsapi),824640,8.5,-0.259,False,3,L,-1.0
2026-08-19,CWS@CHC,CWS,8.5,Under,0.922,0.901,0.021,-2500,williamhill_us,1,4.07,CONF (statsapi),824640,0.04,-0.0411,False,3,W,0.04
2026-08-19,CWS@CHC,CHC,2.5,Over,0.807,0.688,0.12,-275,williamhill_us,1,5.32,CONF (statsapi),824640,0.3636,0.1005,False,0,L,-1.0
2026-08-19,CWS@CHC,CHC,2.5,Under,0.193,0.312,-0.12,200,williamhill_us,1,5.32,CONF (statsapi),824640,2.0,-0.421,False,0,W,2.0
2026-08-19,CWS@CHC,CHC,3.5,Over,0.684,0.554,0.129,-138,fanduel,5,5.32,CONF (statsapi),824640,0.7246,0.1797,True,0,L,-1.0
2026-08-19,CWS@CHC,CHC,3.5,Under,0.316,0.446,-0.129,115,betrivers,5,5.32,CONF (statsapi),824640,1.15,-0.3206,False,0,W,1.15
2026-08-19,CWS@CHC,CHC,4.5,Over,0.551,0.425,0.126,125,williamhill_us,2,5.32,CONF (statsapi),824640,1.25,0.2398,False,0,L,-1.0
2026-08-19,CWS@CHC,CHC,4.5,Under,0.449,0.575,-0.126,-152,betrivers,2,5.32,CONF (statsapi),824640,0.6579,-0.2556,False,0,W,0.6579
2026-08-19,CWS@CHC,CHC,5.5,Over,0.423,0.312,0.111,210,williamhill_us,2,5.32,CONF (statsapi),824640,2.1,0.3113,False,0,L,-1.0
2026-08-19,CWS@CHC,CHC,5.5,Under,0.577,0.688,-0.111,-265,betrivers,2,5.32,CONF (statsapi),824640,0.3774,-0.2053,False,0,W,0.3774
