date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board,actual,settle,units
2026-08-17,SD@NYM,SD,3.5,Under,0.488,0.48,0.008,102,betrivers,5,4.04,Expected Lineup,823589,False,1,W,1.02
2026-08-17,SD@NYM,SD,4.5,Over,0.38,0.395,-0.015,137,williamhill_us,1,4.04,Expected Lineup,823589,False,1,L,-1.0
2026-08-17,SD@NYM,SD,4.5,Under,0.62,0.605,0.015,-182,williamhill_us,1,4.04,Expected Lineup,823589,False,1,W,0.5495
2026-08-17,SD@NYM,SD,5.5,Over,0.27,0.294,-0.024,220,williamhill_us,1,4.04,Expected Lineup,823589,False,1,L,-1.0
2026-08-17,SD@NYM,SD,5.5,Under,0.73,0.706,0.024,-300,williamhill_us,1,4.04,Expected Lineup,823589,False,1,W,0.3333
2026-08-17,SD@NYM,SD,6.5,Over,0.186,0.217,-0.031,333,williamhill_us,1,4.04,Expected Lineup,823589,False,1,L,-1.0
2026-08-17,SD@NYM,SD,6.5,Under,0.814,0.783,0.031,-500,williamhill_us,1,4.04,Expected Lineup,823589,False,1,W,0.2
2026-08-17,SD@NYM,SD,7.5,Over,0.124,0.161,-0.037,480,williamhill_us,1,4.04,Expected Lineup,823589,False,1,L,-1.0
2026-08-17,SD@NYM,SD,7.5,Under,0.876,0.839,0.037,-900,williamhill_us,1,4.04,Expected Lineup,823589,False,1,W,0.1111
2026-08-17,SD@NYM,SD,8.5,Over,0.079,0.116,-0.037,700,williamhill_us,1,4.04,Expected Lineup,823589,False,1,L,-1.0
2026-08-17,SD@NYM,SD,8.5,Under,0.921,0.884,0.037,-2000,williamhill_us,1,4.04,Expected Lineup,823589,False,1,W,0.05
2026-08-17,SD@NYM,NYM,2.5,Over,0.727,0.688,0.04,-275,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,2.5,Under,0.273,0.312,-0.04,200,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,W,2.0
2026-08-17,SD@NYM,NYM,3.5,Over,0.578,0.551,0.028,-134,betrivers,5,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,3.5,Under,0.422,0.449,-0.028,114,fanduel,5,4.44,CONF (statsapi),823589,False,2,W,1.14
2026-08-17,SD@NYM,NYM,4.5,Over,0.435,0.415,0.02,125,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,4.5,Under,0.565,0.585,-0.02,-167,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,W,0.5988
2026-08-17,SD@NYM,NYM,5.5,Over,0.311,0.303,0.008,210,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,5.5,Under,0.689,0.697,-0.008,-286,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,W,0.3497
2026-08-17,SD@NYM,NYM,6.5,Over,0.213,0.217,-0.004,333,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,6.5,Under,0.787,0.783,0.004,-500,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,W,0.2
2026-08-17,SD@NYM,NYM,7.5,Over,0.143,0.156,-0.013,500,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,7.5,Under,0.857,0.844,0.013,-900,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,W,0.1111
2026-08-17,SD@NYM,NYM,8.5,Over,0.092,0.116,-0.024,700,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,L,-1.0
2026-08-17,SD@NYM,NYM,8.5,Under,0.908,0.884,0.024,-2000,williamhill_us,1,4.44,CONF (statsapi),823589,False,2,W,0.05
2026-08-17,ATH@KC,ATH,2.5,Over,0.674,0.651,0.023,-225,williamhill_us,1,4.19,Expected Lineup,824077,False,5,W,0.4444
2026-08-17,ATH@KC,ATH,2.5,Under,0.326,0.349,-0.023,170,williamhill_us,1,4.19,Expected Lineup,824077,False,5,L,-1.0
2026-08-17,ATH@KC,ATH,3.5,Over,0.534,0.52,0.014,-118,betrivers,5,4.19,Expected Lineup,824077,False,5,W,0.8475
2026-08-17,ATH@KC,ATH,3.5,Under,0.466,0.48,-0.014,-102,fanduel,5,4.19,Expected Lineup,824077,False,5,L,-1.0
2026-08-17,ATH@KC,ATH,4.5,Over,0.402,0.39,0.012,140,williamhill_us,1,4.19,Expected Lineup,824077,False,5,W,1.4
2026-08-17,ATH@KC,ATH,4.5,Under,0.598,0.61,-0.012,-187,williamhill_us,1,4.19,Expected Lineup,824077,False,5,L,-1.0
2026-08-17,ATH@KC,ATH,5.5,Over,0.29,0.294,-0.004,220,williamhill_us,1,4.19,Expected Lineup,824077,False,5,L,-1.0
2026-08-17,ATH@KC,ATH,5.5,Under,0.71,0.706,0.004,-300,williamhill_us,1,4.19,Expected Lineup,824077,False,5,W,0.3333
